id,project,entry,exit
2,DSION PROPERTIES,07/10/2013 12:20:40,07/10/2013 12:20:42
1,DSION PROPERTIES,07/10/2013 12:20:36,unknown
2,DSION PROPERTIES,07/10/2013 12:45:55,07/10/2013 12:46:08
3,DSION PROPERTIES,07/10/2013 12:47:39,07/10/2013 12:47:52
3,DSION PROPERTIES,07/10/2013 12:48:35,07/10/2013 12:49:07
3,DSION PROPERTIES,07/10/2013 12:49:27,07/10/2013 12:49:49
3,DSION PROPERTIES,07/10/2013 12:49:51,07/10/2013 12:50:04
2,DSION PROPERTIES,07/10/2013 12:47:04,07/10/2013 12:52:47
3,DSION PROPERTIES,07/10/2013 12:52:32,07/10/2013 12:53:31
2,DSION PROPERTIES,07/10/2013 12:53:18,07/10/2013 12:54:10
1,DSION PROPERTIES,07/10/2013 12:44:48,07/10/2013 12:54:56
2,DSION PROPERTIES,07/10/2013 12:54:12,07/10/2013 12:55:49
1,DSION PROPERTIES,07/10/2013 12:56:06,07/10/2013 12:56:18
2,DSION PROPERTIES,07/10/2013 12:56:05,07/10/2013 12:56:39
1,DSION PROPERTIES,07/10/2013 12:56:37,07/10/2013 12:57:35
1,DSION PROPERTIES,07/10/2013 12:59:32,07/10/2013 12:59:44
1,DSION PROPERTIES,07/10/2013 13:00:04,07/10/2013 13:00:16
1,DSION PROPERTIES,07/10/2013 13:00:22,07/10/2013 13:00:42
2,DSION PROPERTIES,07/10/2013 13:09:23,07/10/2013 13:09:36
4,DSION PROPERTIES,07/10/2013 12:53:24,07/10/2013 13:10:55
4,DSION PROPERTIES,07/10/2013 13:10:59,07/10/2013 13:11:19
3,DSION PROPERTIES,07/10/2013 13:11:16,07/10/2013 13:11:31
4,DSION PROPERTIES,07/10/2013 13:11:22,07/10/2013 13:11:33
4,DSION PROPERTIES,07/10/2013 13:11:50,07/10/2013 13:12:02
4,DSION PROPERTIES,07/10/2013 13:12:27,07/10/2013 13:12:38
4,DSION PROPERTIES,07/10/2013 13:15:53,07/10/2013 13:16:06
3,DSION PROPERTIES,07/10/2013 13:15:57,07/10/2013 13:16:11
5,DSION PROPERTIES,07/10/2013 13:16:05,07/10/2013 13:16:18
5,DSION PROPERTIES,07/10/2013 13:16:21,07/10/2013 13:16:32
3,DSION PROPERTIES,07/10/2013 13:16:24,07/10/2013 13:16:38
4,DSION PROPERTIES,07/10/2013 13:16:31,07/10/2013 13:16:52
1,DSION PROPERTIES,07/10/2013 13:01:14,07/10/2013 13:17:53
1,DSION PROPERTIES,07/10/2013 13:18:00,07/10/2013 13:18:11
1,DSION PROPERTIES,07/10/2013 13:18:41,07/10/2013 13:18:56
1,DSION PROPERTIES,07/10/2013 13:19:09,07/10/2013 13:20:45
1,DSION PROPERTIES,07/10/2013 13:22:08,07/10/2013 13:22:24
2,DSION PROPERTIES,07/10/2013 13:10:42,07/10/2013 13:22:27
1,DSION PROPERTIES,07/10/2013 13:37:03,07/10/2013 13:37:14
4,DSION PROPERTIES,07/10/2013 13:37:06,07/10/2013 13:37:17
4,DSION PROPERTIES,07/10/2013 13:37:24,07/10/2013 13:37:41
1,DSION PROPERTIES,07/10/2013 13:37:32,07/10/2013 13:37:43
1,DSION PROPERTIES,07/10/2013 13:38:16,07/10/2013 13:38:28
2,DSION PROPERTIES,07/10/2013 13:26:55,07/10/2013 13:39:39
1,DSION PROPERTIES,07/10/2013 13:39:37,07/10/2013 13:39:49
2,DSION PROPERTIES,07/10/2013 13:40:21,07/10/2013 13:40:36
2,DSION PROPERTIES,07/10/2013 13:40:54,07/10/2013 13:41:07
4,DSION PROPERTIES,07/10/2013 13:43:34,07/10/2013 13:43:52
2,DSION PROPERTIES,07/10/2013 13:42:11,07/10/2013 13:44:37
4,DSION PROPERTIES,07/10/2013 13:44:28,07/10/2013 13:44:40
4,DSION PROPERTIES,07/10/2013 13:44:40,07/10/2013 13:44:51
2,DSION PROPERTIES,07/10/2013 13:44:42,07/10/2013 13:45:04
4,DSION PROPERTIES,07/10/2013 13:44:59,07/10/2013 13:45:13
2,DSION PROPERTIES,07/10/2013 13:46:42,07/10/2013 13:46:53
3,DSION PROPERTIES,07/10/2013 13:46:44,07/10/2013 13:47:06
2,DSION PROPERTIES,07/10/2013 13:47:00,07/10/2013 13:47:14
2,DSION PROPERTIES,07/10/2013 13:47:18,07/10/2013 13:47:32
3,DSION PROPERTIES,07/10/2013 13:47:26,07/10/2013 13:47:38
5,DSION PROPERTIES,07/10/2013 13:47:37,07/10/2013 13:47:49
2,DSION PROPERTIES,07/10/2013 13:47:34,07/10/2013 13:48:01
3,DSION PROPERTIES,07/10/2013 13:47:49,07/10/2013 13:48:11
