2 ,07/10/2013 12:20:40,07/10/2013 12:20:42
1 ,07/10/2013 12:20:36,unknown
2 ,07/10/2013 12:45:55,07/10/2013 12:46:08
3 ,07/10/2013 12:47:39,07/10/2013 12:47:52
3 ,07/10/2013 12:48:35,07/10/2013 12:49:07
3 ,07/10/2013 12:49:27,07/10/2013 12:49:49
3 ,07/10/2013 12:49:51,07/10/2013 12:50:04
2 ,07/10/2013 12:47:04,07/10/2013 12:52:47
3 ,07/10/2013 12:52:32,07/10/2013 12:53:31
2 ,07/10/2013 12:53:18,07/10/2013 12:54:10
1 ,07/10/2013 12:44:48,07/10/2013 12:54:56
2 ,07/10/2013 12:54:12,07/10/2013 12:55:49
1 ,07/10/2013 12:56:06,07/10/2013 12:56:18
2 ,07/10/2013 12:56:05,07/10/2013 12:56:39
1 ,07/10/2013 12:56:37,07/10/2013 12:57:35
1 ,07/10/2013 12:59:32,07/10/2013 12:59:44
1 ,07/10/2013 13:00:04,07/10/2013 13:00:16
1 ,07/10/2013 13:00:22,07/10/2013 13:00:42
2 ,07/10/2013 13:09:23,07/10/2013 13:09:36
4 ,07/10/2013 12:53:24,07/10/2013 13:10:55
4 ,07/10/2013 13:10:59,07/10/2013 13:11:19
3 ,07/10/2013 13:11:16,07/10/2013 13:11:31
4 ,07/10/2013 13:11:22,07/10/2013 13:11:33
4 ,07/10/2013 13:11:50,07/10/2013 13:12:02
4 ,07/10/2013 13:12:27,07/10/2013 13:12:38
4 ,07/10/2013 13:15:53,07/10/2013 13:16:06
3 ,07/10/2013 13:15:57,07/10/2013 13:16:11
5 ,07/10/2013 13:16:05,07/10/2013 13:16:18
5 ,07/10/2013 13:16:21,07/10/2013 13:16:32
3 ,07/10/2013 13:16:24,07/10/2013 13:16:38
4 ,07/10/2013 13:16:31,07/10/2013 13:16:52
1 ,07/10/2013 13:01:14,07/10/2013 13:17:53
1 ,07/10/2013 13:18:00,07/10/2013 13:18:11
1 ,07/10/2013 13:18:41,07/10/2013 13:18:56
1 ,07/10/2013 13:19:09,07/10/2013 13:20:45
1 ,07/10/2013 13:22:08,07/10/2013 13:22:24
2 ,07/10/2013 13:10:42,07/10/2013 13:22:27
1 ,07/10/2013 13:37:03,07/10/2013 13:37:14
4 ,07/10/2013 13:37:06,07/10/2013 13:37:17
4 ,07/10/2013 13:37:24,07/10/2013 13:37:41
1 ,07/10/2013 13:37:32,07/10/2013 13:37:43
1 ,07/10/2013 13:38:16,07/10/2013 13:38:28
2 ,07/10/2013 13:26:55,07/10/2013 13:39:39
1 ,07/10/2013 13:39:37,07/10/2013 13:39:49
2 ,07/10/2013 13:40:21,07/10/2013 13:40:36
2 ,07/10/2013 13:40:54,07/10/2013 13:41:07
4 ,07/10/2013 13:43:34,07/10/2013 13:43:52
2 ,07/10/2013 13:42:11,07/10/2013 13:44:37
4 ,07/10/2013 13:44:28,07/10/2013 13:44:40
4 ,07/10/2013 13:44:40,07/10/2013 13:44:51
2 ,07/10/2013 13:44:42,07/10/2013 13:45:04
4 ,07/10/2013 13:44:59,07/10/2013 13:45:13
2 ,07/10/2013 13:46:42,07/10/2013 13:46:53
3 ,07/10/2013 13:46:44,07/10/2013 13:47:06
2 ,07/10/2013 13:47:00,07/10/2013 13:47:14
2 ,07/10/2013 13:47:18,07/10/2013 13:47:32
3 ,07/10/2013 13:47:26,07/10/2013 13:47:38
5 ,07/10/2013 13:47:37,07/10/2013 13:47:49
2 ,07/10/2013 13:47:34,07/10/2013 13:48:01
3 ,07/10/2013 13:47:49,07/10/2013 13:48:11
3 ,07/10/2013 13:48:12,07/10/2013 13:48:24
2 ,07/10/2013 13:48:13,07/10/2013 13:48:25
3 ,07/10/2013 13:48:24,07/10/2013 13:48:42
2 ,07/10/2013 13:48:36,07/10/2013 13:48:50
4 ,07/10/2013 13:46:29,07/10/2013 13:49:27
3 ,07/10/2013 13:49:06,07/10/2013 13:49:46
2 ,07/10/2013 13:48:59,07/10/2013 13:49:52
3 ,07/10/2013 13:50:57,07/10/2013 13:51:10
2 ,07/10/2013 13:50:52,07/10/2013 13:51:25
2 ,07/10/2013 13:51:27,07/10/2013 13:51:40
3 ,07/10/2013 13:51:15,07/10/2013 13:51:46
4 ,07/10/2013 13:51:28,07/10/2013 13:51:49
4 ,07/10/2013 13:51:52,07/10/2013 13:52:07
5 ,07/10/2013 13:51:38,07/10/2013 13:52:07
3 ,07/10/2013 13:52:00,07/10/2013 13:52:11
2 ,07/10/2013 13:52:05,07/10/2013 13:52:29
2 ,07/10/2013 13:53:15,07/10/2013 13:53:28
3 ,07/10/2013 13:53:17,07/10/2013 13:53:40
3 ,07/10/2013 13:53:49,07/10/2013 13:53:50
3 ,07/10/2013 13:54:03,07/10/2013 13:54:16
3 ,07/10/2013 13:54:19,07/10/2013 13:54:30
3 ,07/10/2013 13:55:31,07/10/2013 13:56:02
2 ,07/10/2013 13:55:51,07/10/2013 13:56:06
5 ,07/10/2013 13:55:57,07/10/2013 13:56:08
2 ,07/10/2013 13:58:49,07/10/2013 13:59:03
2 ,07/10/2013 13:59:10,07/10/2013 13:59:21
2 ,07/10/2013 14:00:00,07/10/2013 14:00:17
5 ,07/10/2013 13:56:14,07/10/2013 14:01:18
2 ,07/10/2013 14:01:15,07/10/2013 14:01:34
1 ,07/10/2013 13:40:20,07/10/2013 14:02:11
1 ,07/10/2013 14:02:23,07/10/2013 14:04:21
2 ,07/10/2013 14:04:13,07/10/2013 14:04:24
1 ,07/10/2013 14:10:45,07/10/2013 14:11:08
1 ,07/10/2013 14:14:10,07/10/2013 14:14:24
1 ,07/10/2013 14:14:35,07/10/2013 14:14:46
1 ,07/10/2013 14:14:50,07/10/2013 14:15:05
1 ,07/10/2013 14:15:53,07/10/2013 14:16:07
2 ,07/10/2013 14:09:22,07/10/2013 14:25:45
2 ,07/10/2013 14:25:49,07/10/2013 14:26:10
1 ,07/10/2013 14:26:01,07/10/2013 14:26:16
1 ,07/10/2013 14:30:45,07/10/2013 14:31:08
1 ,07/10/2013 14:31:41,07/10/2013 14:31:54
3 ,07/10/2013 14:34:37,07/10/2013 14:35:35
4 ,07/10/2013 14:35:53,07/10/2013 14:36:05
1 ,07/10/2013 14:32:41,07/10/2013 14:36:47
1 ,07/10/2013 14:37:15,07/10/2013 14:37:26
3 ,07/10/2013 14:35:39,07/10/2013 14:37:27
5 ,07/10/2013 14:31:06,07/10/2013 14:38:39
3 ,07/10/2013 14:38:59,07/10/2013 14:39:14
3 ,07/10/2013 14:39:42,07/10/2013 14:39:53
3 ,07/10/2013 14:40:11,07/10/2013 14:40:24
5 ,07/10/2013 14:38:49,07/10/2013 14:42:14
5 ,07/10/2013 14:43:21,07/10/2013 14:43:32
5 ,07/10/2013 14:43:36,07/10/2013 14:43:58
5 ,07/10/2013 14:44:02,07/10/2013 14:44:17
5 ,07/10/2013 14:45:30,07/10/2013 14:45:45
3 ,07/10/2013 14:45:37,07/10/2013 14:45:48
5 ,07/10/2013 14:54:17,07/10/2013 14:54:42
